"学校名","别名"
华侨大学,"华侨大学,国立華僑大学,国立华侨大学,華僑大學,華僑大学,國立华僑大学,泉州华侨大学,HQU,华大,Huaqiao University"
集美大学,"集美大学,Collects The American University,JMU,厦门市集美大学,集大,福建集美大学,JiMei University(JMU),Jimei University"
闽江学院,"闽江学院,闽院,MJU,闽江大学,閩江學院,福州师范高等专科学校,Minjiang University"
厦门大学,"厦门大学,厦大,XMU,Xiamen University"
厦门理工学院,"厦门理工学院,厦门鹭江职业大学,廈門理工学院,鹭江职业大学,厦门理工,厦门理工·XMUT,Xiamen University of Technology"
东华理工大学,"东华理工大学,東華理工大学,东华理工学院,华东地质学院,華東地質学院,抚州师范专科学校,东华理工大學,ECUT,東华理工大学,东理,东华理工,華東地質學院,East China University of Technology"
赣南师范大学,"赣南师范大学,赣南师大,GNNU,贛南師範大學,赣南师院,赣南师范学院,贛南師范學院,赣南師範学院,贛南师范学院,贛南师范大学,贛南師範學院,GanNan Normal University"
华东交通大学,"华东交通大学,Traffic University Of East China,華東交通大学,华通交大,华通交通大学,华东交大,东华交通大学,East China Jiaotong University"
江西理工大学,"江西理工大学,Institutes Of Technology Of Jiangxi,江西冶金学院,南方冶金學院,江西理工,江西冶金學院,南方冶金学院,JXUST,Jiangxi University of Science and Technology"
江西农业大学,"江西农业大学,Agricultural University Of Jiangxi,江西共产主义劳动大学,江西農業大學,江农,江西农大,农大,江西农学院,江西農大,江西省农业大学,Jiangxi Agricultural University"
